ACN,0
AYI,1
AMD,2
AAP,3
AES,4
AET,5
AMG,6
AFL,7
A,8
APD,9
ALK,10
ALB,11
ARE,12
ALXN,13
ALGN,14
ALLE,15
AGN,16
ADS,17
LNT,18
ALL,19
GOOGL,20
GOOG,21
MO,22
AEE,23
AAL,24
AEP,25
AXP,26
AIG,27
AMT,28
AWK,29
AMP,30
ABC,31
AME,32
AMGN,33
APH,34
APC,35
ADI,36
ANSS,37
ANTM,38
AON,39
AOS,40
APA,41
AIV,42
AMAT,43
ADM,44
ARNC,45
AJG,46
AIZ,47
T,48
ADSK,49
ADP,50
AZO,51
AVB,52
AVY,53
BLL,54
BAC,55
BK,56
BAX,57
BBT,58
BDX,59
BBY,60
BIIB,61
BLK,62
HRB,63
BA,64
BWA,65
BXP,66
BSX,67
BMY,68
AVGO,69
CHRW,70
CA,71
COG,72
CDNS,73
CPB,74
COF,75
CAH,76
CBOE,77
KMX,78
CCL,79
CAT,80
CBG,81
CBS,82
CNC,83
CNP,84
CTL,85
CERN,86
CF,87
SCHW,88
CHTR,89
CHK,90
CVX,91
CMG,92
CB,93
CHD,94
CI,95
XEC,96
CINF,97
CTAS,98
CSCO,99
C,100
CFG,101
CTXS,102
CLX,103
CME,104
CMS,105
KO,106
CTSH,107
CL,108
CMA,109
CAG,110
CXO,111
COP,112
ED,113
STZ,114
COO,115
GLW,116
COTY,117
CCI,118
CSRA,119
CSX,120
CMI,121
CVS,122
DHI,123
DHR,124
DRI,125
DVA,126
DE,127
DAL,128
XRAY,129
DVN,130
DLR,131
DFS,132
DISCA,133
DISCK,134
DISH,135
DG,136
DLTR,137
D,138
DOV,139
DPS,140
DTE,141
DRE,142
DUK,143
ETFC,144
EMN,145
ETN,146
EBAY,147
ECL,148
EIX,149
EW,150
EA,151
EMR,152
ETR,153
EVHC,154
EOG,155
EQT,156
EFX,157
EQIX,158
EQR,159
ESS,160
EL,161
ES,162
RE,163
EXC,164
EXPE,165
EXPD,166
ESRX,167
EXR,168
XOM,169
FFIV,170
FB,171
FRT,172
FDX,173
FIS,174
FITB,175
FE,176
FISV,177
FLIR,178
FLS,179
FLR,180
FMC,181
FL,182
F,183
FTV,184
FBHS,185
BEN,186
FCX,187
GPS,188
GRMN,189
IT,190
GD,191
GE,192
GGP,193
GIS,194
GM,195
GPC,196
GILD,197
GPN,198
GS,199
GT,200
GWW,201
HAL,202
HBI,203
HOG,204
HRS,205
HIG,206
HAS,207
HCA,208
HCP,209
